id,file_name,original_file_name,catalog_id,dataset,path,scientific_name,genus,family,institution,width,height,size
162570,UWZM_162570.JPG,UWZM-F-0000853.JPG,853,GLIN,http://www.tubri.org/HDR/UWZM/UWZM-F-0000853.JPG,Lepomis,Lepomis,Centrarchidae,UWZM,3648.0,2432.0,1683094
162571,UWZM_162571.JPG,UWZM-F-0001698.JPG,1698,GLIN,http://www.tubri.org/HDR/UWZM/UWZM-F-0001698.JPG,Lepomis,Lepomis,Centrarchidae,UWZM,3648.0,2432.0,1766046
162572,UWZM_162572.JPG,UWZM-F-0001699.JPG,1699,GLIN,http://www.tubri.org/HDR/UWZM/UWZM-F-0001699.JPG,Lepomis,Lepomis,Centrarchidae,UWZM,3648.0,2432.0,1809130
162573,UWZM_162573.JPG,UWZM-F-0001700.JPG,1700,GLIN,http://www.tubri.org/HDR/UWZM/UWZM-F-0001700.JPG,Lepomis,Lepomis,Centrarchidae,UWZM,3648.0,2432.0,1653746
162574,UWZM_162574.JPG,UWZM-F-0001701.JPG,1701,GLIN,http://www.tubri.org/HDR/UWZM/UWZM-F-0001701.JPG,Lepomis,Lepomis,Centrarchidae,UWZM,3648.0,2432.0,1692079
162575,UWZM_162575.JPG,UWZM-F-0001702.JPG,1702,GLIN,http://www.tubri.org/HDR/UWZM/UWZM-F-0001702.JPG,Lepomis,Lepomis,Centrarchidae,UWZM,3648.0,2432.0,1818069
162576,UWZM_162576.JPG,UWZM-F-0004236.JPG,4236,GLIN,http://www.tubri.org/HDR/UWZM/UWZM-F-0004236.JPG,Lepomis,Lepomis,Centrarchidae,UWZM,3648.0,2432.0,2004422
125213,INHS_125213.JPG,INHS_FISH_14841.jpg,14841,GLIN,http://www.tubri.org/HDR/INHS/INHS_FISH_14841.jpg,Lepomis,Lepomis,Centrarchidae,INHS,6016.0,4016.0,7864814
129489,INHS_129489.JPG,INHS_FISH_38119.jpg,38119,GLIN,http://www.tubri.org/HDR/INHS/INHS_FISH_38119.jpg,Lepomis,Lepomis,Centrarchidae,INHS,6016.0,4016.0,7248575
129506,INHS_129506.JPG,INHS_FISH_38136.jpg,38136,GLIN,http://www.tubri.org/HDR/INHS/INHS_FISH_38136.jpg,Lepomis,Lepomis,Centrarchidae,INHS,6016.0,4016.0,7610387
129785,INHS_129785.JPG,INHS_FISH_39215.jpg,39215,GLIN,http://www.tubri.org/HDR/INHS/INHS_FISH_39215.jpg,Lepomis,Lepomis,Centrarchidae,INHS,6016.0,4016.0,7878367
129850,INHS_129850.JPG,INHS_FISH_39552.jpg,39552,GLIN,http://www.tubri.org/HDR/INHS/INHS_FISH_39552.jpg,Lepomis,Lepomis,Centrarchidae,INHS,6016.0,4016.0,6959482
132178,INHS_132178.JPG,INHS_FISH_50577.jpg,50577,GLIN,http://www.tubri.org/HDR/INHS/INHS_FISH_50577.jpg,Lepomis,Lepomis,Centrarchidae,INHS,6016.0,4016.0,7375762
135826,INHS_135826.JPG,INHS_FISH_74458.jpg,74458,GLIN,http://www.tubri.org/HDR/INHS/INHS_FISH_74458.jpg,Lepomis,Lepomis,Centrarchidae,INHS,6016.0,4016.0,7971377
135834,INHS_135834.JPG,INHS_FISH_74478.jpg,74478,GLIN,http://www.tubri.org/HDR/INHS/INHS_FISH_74478.jpg,Lepomis,Lepomis,Centrarchidae,INHS,6016.0,4016.0,7730349
136970,INHS_136970.JPG,INHS_FISH_79829.jpg,79829,GLIN,http://www.tubri.org/HDR/INHS/INHS_FISH_79829.jpg,Lepomis,Lepomis,Centrarchidae,INHS,6016.0,4016.0,7197697
140504,INHS_140504.JPG,INHS_FISH_94755.jpg,94755,GLIN,http://www.tubri.org/HDR/INHS/INHS_FISH_94755.jpg,Lepomis,Lepomis,Centrarchidae,INHS,6016.0,4016.0,7680573
